0,AAPL,Apple Inc
1,ADBE,Adobe Systems Inc
2,ADI,Analog Devices
3,AGYS,Agilysys Inc
4,AMAT,Applied Materials
5,AMD,Adv Micro Devices
6,ASML,Asml Holdings NY Reg ADR
7,CDNS,Cadence Design Sys
8,COST,Costco Wholesale
9,CPRT,Copart Inc
10,CTAS,Cintas Corp
11,INTU,Intuit Inc
12,KLAC,K L A-Tencor Corp
13,LRCX,Lam Research Corp
14,LSCC,Lattice Semicond
15,MSFT,Microsoft Corp
16,NSSC,Napco Sec Tech Inc
17,ODFL,Old Dominion Freight Line Inc
18,RGEN,Repligen Cp
19,SNPS,Synopsys Inc
20,TER,Teradyne Inc
21,TRNS,Transcat Inc
22,TTEK,Tetra Tech Inc
23,LLY,Eli Lilly and Company
24,TMO,Thermo Fisher Scientific Inc.
25,DHR,Danaher Corporation
26,SPGI,S&P Global Inc.
27,LOW,"Lowe's Companies, Inc."
28,PGR,The Progressive Corporation
29,ETN,Eaton Corporation plc
30,TT,Trane Technologies plc
31,AJG,Arthur J. Gallagher & Co.
32,FICO,Fair Isaac Corporation
33,WST,"West Pharmaceutical Services, Inc."
34,BRO,"Brown & Brown, Inc."
