ADUS,Addus Homecare Corp
AOSL,Alpha and Omega Semi
BCML,Bay Commercial Bk CA
DWAS,DWA Smallcap Momentum Invesco ETF
ENPH,Enphase Energy Inc
ENZL,New Zealand Ishares MSCI ETF
EU,Encore Energy Corp
FNY,Midcap Growth Alphadex Fund FT
FWONA,Liberty Media Formula One Sr A
FYC,Smallcap Growth Alphadex Fund FT
HRZN,Horizon Technology F
IPGP,Ipg Photonics Corp
LAND,Gladstone Land Corp
MRTX,Mirati Therapeutics
MVBF,Mvb Financial Corp
PAYS,Paysign Inc
QCLN,Nasdaq Green Energy Index ETF
QQQE,Nasdaq 100 EW Index Direxion
SKYY,Cloud Computing ETF FT
SOCL,GX Social Media ETF
TQQQ,Ultrapro QQQ 3X ETF
TREE,Lendingtree Inc
TSLA,Tesla Inc
TTGT,Techtarget Inc
VGSH,Short-Term Govt Bond Vanguard
VTIP,Short-Term Infl Protected Vanguard
ABBV,AbbVie Inc.
NOW,"ServiceNow, Inc."
EPAM,"EPAM Systems, Inc."
GNRC,Generac Holdings Inc.
