MSFT,Microsoft Corporation
AAPL,Apple Inc
V,Visa Inc.
JPM,JPMorgan Chase & Co.
UNH,UnitedHealth Group Incorporated
WMT,Walmart Inc.
JNJ,Johnson & Johnson
PG,The Procter & Gamble Company
HD,The Home Depot Inc.
MRK,Merck & Co., Inc.
CVX,Chevron Corporation
CRM,Salesforce, Inc.
KO,The Coca-Cola Company
MCD,McDonald's Corporation
CSCO,Cisco Systems, Inc.
INTC,Intel Corporation
VZ,Verizon Communications Inc.
DIS,The Walt Disney Company
IBM,International Business Machines Corporation
AMGN,Amgen Inc.
CAT,Caterpillar Inc.
NKE,NIKE, Inc.
AXP,American Express Company
HON,Honeywell International Inc.
GS,The Goldman Sachs Group, Inc.
BA,The Boeing Company
MMM,3M Company
TRV,The Travelers Companies, Inc.
DOW,Dow Inc.
WBA,Walgreens Boots Alliance, Inc.
